Brand Name,Grain Type,Price per Bag (Naira),City,Country,Customer Rating,Number of Reviews,Month Sold,Units Sold
Tommy Tasty,basmati,12870.72,Kumasi,Ghana,2,137,December,969
Royal Stallion,long grain,9771.94,Accra,Ghana,2,298,September,230
Caprice,long grain,15698.12,Lagos,Nigeria,2,200,April,509
Caprice,basmati,12591.07,Kumasi,Ghana,3,257,April,364
Sunshine,basmati,15636.29,Kumasi,Ghana,2,219,August,351
Golden Harvest,long grain,,Accra,Ghana,3,18,January,768
Sunshine,long grain,23776.28,Abuja,Nigeria,1,145,October,869
Royal Stallion,basmati,19870.3,Lagos,Nigeria,2,1,March,232
Golden Harvest,local,13942.97,Lagos,Nigeria,4,90,September,728
Caprce,basmati,14739.78,Lagos,Nigeria,3,61,March,641
King's Pride,basmati,18802.21,Accra,Ghana,3,65,February,437
Sunshine,long grain,9667.98,Accra,Ghana,3,220,October,277
Caprice,local,21812.24,Lagos,Nigeria,5,61,May,786
Caprice,long grain,9690.94,Accra,Ghana,4,283,December,284
Uncle Sam,local,12657.75,Lagos,Nigeria,4,144,June,68
Mama Gold,basmati,13963.21,Kumaci,Ghana,3,151,July,966
Tommy Tasty,basmati,9939.03,Abuja,Nigeria,3,240,March,104
Caprice,long grain,14593.37,Lagos,Nigeria,3,104,October,425
Caprice,long grain,24711,Abuja,Nigeria,4,211,May,55
King's Pride,local,20610.3,Lagos,Nigeria,5,184,November,977
Golden Harvest,local,16324.31,Abuja,Nigeria,3,271,June,982
Caprice,long grain,15748.5,Abuja,Nigeria,2,51,May,249
Golden Harvest,long grain,23426.18,Lagos,Nigeria,3,87,October,969
Uncle Sam,basmati,,Accra,Ghana,2,291,August,816
Golden Harvest,Basmati,21483.83,Kumasi,Ghana,4,81,February,880
Sunshine,long grain,21536.62,Lagos,Nigeria,2,59,November,832
Sunshine,basmati,8245.9,Abuja,Nigeria,5,182,March,159
Sunshine,basmati,10757.87,Abuja,Nigeria,1,49,February,294
King's Pride,basmati,21654.04,Kumasi,Ghana,3,113,July,676
Sunshine,local,12514.2,Lagos,Nigeria,3,222,August,717
Royal Stallion,local,8992.19,Accra,Ghana,4,248,July,52
Caprice,local,14685.58,Kumasi,Ghana,4,259,January,963
Royal Stallion,local,13487.78,Accra,Ghana,2,177,January,499
Caprice,local,23070.6,Accra,Ghana,1,137,December,686
Sunshine,basmati,21049.6,Kumasi,Ghana,2,20,January,613
Royal Stallion,local,10025.22,Accra,Ghana,2,185,November,186
Caprice,long grain,10694.89,Kumasi,Ghana,4,36,September,644
Uncle Sam,long grain,,Accra,Ghana,1,194,February,769
Caprice,long grain,17450.25,Lagos,Nigeria,1,67,October,828
Golden Harvest,long grain,10843.43,Lagos,Nigeria,1,125,March,161
Sunshine,local,22447.87,Abuja,Nigeria,5,56,December,277
Caprice,LONG GRAIN,8511.38,Accra,Ghana,4,254,August,404
Golden Harvest,basmati,10748.49,Accra,Ghana,5,285,August,455
King's Pride,Basmati,13084.34,Abuja,Nigeria,4,40,April,660
Uncle Sam,long grain,9411.86,Lagos,Nigeria,5,230,May,119
Sunshine,local,24421.01,Abuja,Nigeria,2,44,January,133
Uncle Sam,local,20512.43,Accra,Ghana,5,42,September,305
Royal Stallion,local,14131.05,Abuja,Nigeria,2,272,July,703
Golden Harvest,long grain,14935.1,Abuja,Nigeria,5,238,December,931
Mamma Gold,local,18551.82,Accra,Ghana,3,208,December,590
Royal Stallion,long grain,18897.92,lagos,Nigeria,2,240,May,329
Uncl Sam,basmati,13953.34,Abuja,Nigeria,3,51,August,658
Golden Harvest,basmati,24717.48,Kumasi,Ghana,5,127,December,107
Mama Gold,basmati,13000.42,Abuja,Nigeria,4,177,February,387
King's Pride,local,16095.53,Accra,Ghana,1,89,March,656
Caprice,long grain,13981.06,Kumasi,Ghana,2,24,August,813
Mama Gold,local,16052.5,Lagos,Nigeria,2,216,July,667
Uncle Sam,long grain,11192.63,Abuja,Nigeria,2,42,February,352
Royal Stallion,basmati,15240.5,Kumasi,Ghana,1,100,February,596
Royal Stallion,basmati,16456.76,Abuja,Nigeria,2,291,October,498
Uncle Sam,basmati,13481.03,Kumasi,Ghana,2,213,December,897
Royal Stallion,basmati,18427.1,Accra,Ghana,5,86,October,659
Royal Stallion,long grain,20744.02,Lagos,Nigeria,5,276,June,744
Golden Harvest,basmati,16110.96,Abuja,Nigeria,3,182,April,633
Sunshine,basmati,23331.08,Kumasi,Ghana,5,133,April,514
Caprice,basmati,20348.53,Lagos,Nigeria,2,264,February,824
Sunshine,long grain,22844.17,Accra,Ghana,3,185,January,553
King's Pride,long grain,10401.85,Abuja,Nigeria,3,127,March,287
Uncl Sam,local,15525.36,Kumasi,Ghana,2,218,January,376
Uncle Sam,long grain,9003.35,Kumasi,Ghana,3,55,November,333
Royal Stallion,long grain,17043.05,Abuja,Nigeria,3,221,March,567
Uncl Sam,local,17003.14,Kumasi,Ghana,5,87,February,824
Mama Gold,basmati,24806.7,Lagos,Nigeria,5,142,August,481
Tommy Tasty,local,17001.08,Kumasi,Ghana,5,96,December,575
Uncle Sam,long grain,16612.62,Lagos,Nigeria,4,262,April,936
Golden Harvest,basmati,24925.14,Kumasi,Ghana,3,3,February,570
Tommy Tasty,basmati,23351.01,Abuja,Nigeria,4,84,November,614
Tommy Tasty,basmati,12696.67,Kumasi,Ghana,4,96,September,924
Uncle Sam,long grain,,Acccra,Ghana,5,284,February,966
Caprice,long grain,16401.32,Kumasi,Ghana,1,230,December,754
Sunshine,basmati,10223.09,Kumasi,Ghana,1,257,February,649
Uncle Sam,basmati,20852.4,Lagos,Nigeria,2,27,May,644
Tommy Tasty,basmati,11089.34,Abuja,Nigeria,2,193,April,858
Golden Harvest,local,22170.87,Abuja,Nigeria,3,174,February,703
